Country;Prevalence - Alcohol and substance use disorders: Both (age-standardized percent) (%);;;;;;
Afghanistan;1,81;;;;;;
Albania;2,33;;;;;;
Algeria;1,49;;;;;;
Argentina;3,12;;;;;;
Armenia;2,37;;;;;;
Australia;3,80;;;;;;
Austria;2,83;;;;;;
Azerbaijan;3,26;;;;;;
Bahrain;1,62;;;;;;
Bangladesh;2,03;;;;;;
Belarus;5,10;;;;;;
Belgium;2,28;;;;;;
Benin;1,67;;;;;;
Bolivia;2,43;;;;;;
Bosnia and Herzegovina;3,53;;;;;;
Botswana;2,38;;;;;;
Brazil;3,73;;;;;;
Bulgaria;2,39;;;;;;
Burkina Faso;1,62;;;;;;
Cambodia;1,59;;;;;;
Cameroon;1,80;;;;;;
Canada;3,79;;;;;;
Central African Republic;1,89;;;;;;
Chad;1,61;;;;;;
Chile;3,46;;;;;;
China;1,96;;;;;;
Colombia;2,37;;;;;;
Congo (Brazzaville);1,94;;;;;;
Congo (Kinshasa);1,86;;;;;;
Costa Rica;1,91;;;;;;
Croatia;2,74;;;;;;
Cyprus;1,77;;;;;;
Czech Republic;2,71;;;;;;
Denmark;2,83;;;;;;
Dominican Republic;2,18;;;;;;
Ecuador;2,31;;;;;;
Egypt;1,45;;;;;;
El Salvador;3,09;;;;;;
Estonia;5,48;;;;;;
Ethiopia;2,62;;;;;;
Finland;4,02;;;;;;
France;2,73;;;;;;
Gabon;2,01;;;;;;
Gambia;1,58;;;;;;
Georgia;2,41;;;;;;
Germany;2,83;;;;;;
Ghana;1,69;;;;;;
Greece;1,88;;;;;;
Guatemala;3,16;;;;;;
Guinea;1,59;;;;;;
Haiti;2,33;;;;;;
Honduras;2,13;;;;;;
Hong Kong S.A.R. of China;;;;;;;
Hungary;2,61;;;;;;
Iceland;2,14;;;;;;
India;1,74;;;;;;
Indonesia;1,30;;;;;;
Iran;1,79;;;;;;
Iraq;2,18;;;;;;
Ireland;3,24;;;;;;
Israel;1,33;;;;;;
Italy;1,68;;;;;;
Ivory Coast;1,72;;;;;;
Jamaica;2,33;;;;;;
Japan;1,56;;;;;;
Jordan;1,61;;;;;;
Kazakhstan;3,38;;;;;;
Kenya;1,53;;;;;;
Kosovo;;;;;;;
Kuwait;1,51;;;;;;
Kyrgyzstan;3,34;;;;;;
Laos;1,63;;;;;;
Latvia;4,79;;;;;;
Lebanon;1,62;;;;;;
Lesotho;2,27;;;;;;
Liberia;1,61;;;;;;
Libya;1,55;;;;;;
Lithuania;4,59;;;;;;
Luxembourg;2,35;;;;;;
Macedonia;2,27;;;;;;
Madagascar;1,93;;;;;;
Malawi;2,01;;;;;;
Mali;1,57;;;;;;
Malta;1,98;;;;;;
Mauritania;1,60;;;;;;
Mauritius;1,83;;;;;;
Mexico;2,17;;;;;;
Moldova;4,36;;;;;;
Mongolia;4,12;;;;;;
Montenegro;2,47;;;;;;
Morocco;1,30;;;;;;
Mozambique;1,96;;;;;;
Myanmar;1,50;;;;;;
Namibia;2,30;;;;;;
Nepal;2,07;;;;;;
Netherlands;1,87;;;;;;
New Zealand;3,72;;;;;;
Nicaragua;2,36;;;;;;
Niger;1,56;;;;;;
Nigeria;1,61;;;;;;
Norway;2,82;;;;;;
Pakistan;2,39;;;;;;
Palestinian Territories;1,65;;;;;;
Panama;1,94;;;;;;
Paraguay;2,92;;;;;;
Peru;1,98;;;;;;
Philippines;1,57;;;;;;
Poland;2,75;;;;;;
Portugal;1,91;;;;;;
Romania;2,06;;;;;;
Russia;5,93;;;;;;
Rwanda;2,79;;;;;;
Saudi Arabia;1,46;;;;;;
Senegal;1,63;;;;;;
Serbia;2,32;;;;;;
Sierra Leone;1,63;;;;;;
Singapore;1,53;;;;;;
Slovakia;2,99;;;;;;
Slovenia;2,89;;;;;;
South Africa;2,17;;;;;;
South Korea;3,16;;;;;;
South Sudan;1,92;;;;;;
Spain;2,27;;;;;;
Sri Lanka;1,55;;;;;;
Sweden;2,47;;;;;;
Switzerland;2,40;;;;;;
Taiwan Province of China;1,98;;;;;;
Tajikistan;2,58;;;;;;
Tanzania;2,02;;;;;;
Thailand;1,74;;;;;;
Togo;1,66;;;;;;
Trinidad and Tobago;2,33;;;;;;
Tunisia;1,47;;;;;;
Turkey;1,73;;;;;;
Turkmenistan;2,73;;;;;;
Uganda;1,72;;;;;;
Ukraine;5,10;;;;;;
United Arab Emirates;1,75;;;;;;
United Kingdom;2,90;;;;;;
United States;5,47;;;;;;
Uruguay;2,06;;;;;;
Uzbekistan;2,32;;;;;;
Venezuela;1,88;;;;;;
Vietnam;2,37;;;;;;
Yemen;1,40;;;;;;
Zambia;2,14;;;;;;
Zimbabwe;2,32;;;;;;
