"Country or Area";"Year";"Area";"Type of household";"Sex of reference person";"Marital status of reference person";"Record Type";"Reliability";"Source Year";"Value";"Value Footnotes"
"Argentina";"2010";"Total";"Total";"Total";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"12146654";""
"Argentina";"2010";"Total";"Total";"Total";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"4068584";""
"Argentina";"2010";"Total";"Total";"Total";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"5408082";""
"Argentina";"2010";"Total";"Total";"Total";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"1456389";""
"Argentina";"2010";"Total";"Total";"Total";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"785751";""
"Argentina";"2010";"Total";"Total";"Total";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"427848";""
"Argentina";"2010";"Total";"Total";"Male";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"8015998";""
"Argentina";"2010";"Total";"Total";"Male";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"2566828";""
"Argentina";"2010";"Total";"Total";"Male";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"4583989";""
"Argentina";"2010";"Total";"Total";"Male";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"299588";""
"Argentina";"2010";"Total";"Total";"Male";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"374553";""
"Argentina";"2010";"Total";"Total";"Male";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"191040";""
"Argentina";"2010";"Total";"Total";"Female";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"4130656";""
"Argentina";"2010";"Total";"Total";"Female";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"1501756";""
"Argentina";"2010";"Total";"Total";"Female";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"824093";""
"Argentina";"2010";"Total";"Total";"Female";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"1156801";""
"Argentina";"2010";"Total";"Total";"Female";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"411198";""
"Argentina";"2010";"Total";"Total";"Female";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"236808";""
"Argentina";"2010";"Total";"One-person household";"Total";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"2155740";""
"Argentina";"2010";"Total";"One-person household";"Total";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"948126";""
"Argentina";"2010";"Total";"One-person household";"Total";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"231057";""
"Argentina";"2010";"Total";"One-person household";"Total";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"636603";""
"Argentina";"2010";"Total";"One-person household";"Total";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"226893";""
"Argentina";"2010";"Total";"One-person household";"Total";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"113061";""
"Argentina";"2010";"Total";"One-person household";"Male";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"984818";""
"Argentina";"2010";"Total";"One-person household";"Male";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"545146";""
"Argentina";"2010";"Total";"One-person household";"Male";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"139413";""
"Argentina";"2010";"Total";"One-person household";"Male";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"115994";""
"Argentina";"2010";"Total";"One-person household";"Male";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"116166";""
"Argentina";"2010";"Total";"One-person household";"Male";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"68099";""
"Argentina";"2010";"Total";"One-person household";"Female";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"1170922";""
"Argentina";"2010";"Total";"One-person household";"Female";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"402980";""
"Argentina";"2010";"Total";"One-person household";"Female";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"91644";""
"Argentina";"2010";"Total";"One-person household";"Female";"Widowed and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"520609";""
"Argentina";"2010";"Total";"One-person household";"Female";"Divorced and not remarried";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"110727";""
"Argentina";"2010";"Total";"One-person household";"Female";"Married but separated";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"44962";""
"Argentina";"2010";"Total";"Nuclear household";"Total";"Total";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"7526806";""
"Argentina";"2010";"Total";"Nuclear household";"Total";"Single (never married)";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"2258881";""
"Argentina";"2010";"Total";"Nuclear household";"Total";"Married";"Census - de facto - complete tabulation";"Final figure, complete";"2015";"4185466";""
