Country;Population density (people per sq, km of land area) (people per km² of land area)
Afghanistan;54,42
Albania;104,87
Algeria;17,35
Argentina;16,18
Armenia;102,93
Australia;3,20
Austria;106,75
Azerbaijan;119,31
Bahrain;1935,91
Bangladesh;1265,04
Belarus;46,86
Belgium;375,56
Benin;99,11
Bolivia;10,20
Bosnia and Herzegovina;68,50
Botswana;4,04
Brazil;25,04
Bulgaria;65,18
Burkina Faso;70,15
Cambodia;90,67
Cameroon;50,88
Canada;4,04
Central African Republic;7,48
Chad;11,83
Chile;24,28
China;147,67
Colombia;44,22
Congo (Brazzaville);15,40
Congo (Kinshasa);35,88
Costa Rica;96,08
Croatia;73,73
Cyprus;127,66
Czech Republic;137,18
Denmark;136,52
Dominican Republic;222,87
Ecuador;66,94
Egypt;98,00
El Salvador;307,81
Estonia;31,03
Ethiopia;104,96
Finland;18,14
France;122,58
Gabon;7,86
Gambia;207,57
Georgia;65,03
Germany;237,02
Ghana;126,72
Greece;83,48
Guatemala;157,83
Guinea;51,75
Haiti;398,45
Honduras;82,81
Hong Kong S.A.R. of China;7039,71
Hungary;108,04
Iceland;3,40
India;450,42
Indonesia;145,73
Iran;49,83
Iraq;88,13
Ireland;69,87
Israel;402,61
Italy;205,86
Ivory Coast;76,40
Jamaica;266,88
Japan;347,78
Jordan;109,29
Kazakhstan;6,68
Kenya;87,32
Kosovo;168,15
Kuwait;232,13
Kyrgyzstan;32,33
Laos;29,71
Latvia;31,21
Lebanon;594,56
Lesotho;73,56
Liberia;49,13
Libya;3,62
Lithuania;45,14
Luxembourg;231,45
Macedonia;82,60
Madagascar;43,95
Malawi;197,52
Mali;15,20
Malta;1454,04
Mauritania;4,29
Mauritius;622,96
Mexico;66,44
Moldova;123,65
Mongolia;1,98
Montenegro;46,28
Morocco;80,08
Mozambique;37,73
Myanmar;81,72
Namibia;3,08
Nepal;204,43
Netherlands;508,54
New Zealand;18,21
Nicaragua;51,67
Niger;16,96
Nigeria;209,59
Norway;14,46
Pakistan;255,57
Palestinian Territories;778,20
Panama;55,13
Paraguay;17,14
Peru;25,13
Philippines;351,87
Poland;124,03
Portugal;112,37
Romania;85,13
Russia;8,82
Rwanda;494,87
Saudi Arabia;15,32
Senegal;82,33
Serbia;80,29
Sierra Leone;104,70
Singapore;7915,73
Slovakia;113,13
Slovenia;102,62
South Africa;46,75
South Korea;527,97
South Sudan;
Spain;93,10
Sri Lanka;341,96
Sweden;24,72
Switzerland;214,24
Taiwan Province of China;
Tajikistan;64,28
Tanzania;64,70
Thailand;135,13
Togo;143,37
Trinidad and Tobago;266,89
Tunisia;74,23
Turkey;104,91
Turkmenistan;12,25
Uganda;213,76
Ukraine;77,39
United Arab Emirates;112,44
United Kingdom;272,90
United States;35,61
Uruguay;19,75
Uzbekistan;76,13
Venezuela;36,25
Vietnam;308,13
Yemen;53,51
Zambia;22,99
Zimbabwe;42,73
