Country;Total value of export (% of GDP);;;https://ourworldindata.org/grapher/total-value-of-exports-by-country-to-world-national-vs-dyadic?time=1868..2014
Afghanistan;3,66;;;
Albania;17,61;;;
Algeria;29,5;;;
Argentina;13,49;;;
Armenia;13,47;;;
Australia;16,88;;;
Austria;41,32;;;
Azerbaijan;39,1;;;
Bahrain;109,52;;;
Bangladesh;17,65;;;
Belarus;47,36;;;
Belgium;86,17;;;
Benin;20,99;;;
Bolivia;39,04;;;
Bosnia and Herzegovina;31,81;;;
Botswana;49,12;;;
Brazil;9,98;;;
Bulgaria;50,77;;;
Burkina Faso;19,41;;;
Cambodia;69,85;;;
Cameroon;17,92;;;
Canada;26,61;;;
Central African Republic;5,92;;;
Chad;30,17;;;
Chile;29,85;;;
China;22,89;;;
Colombia;15,76;;;
Congo (Brazzaville);73,41;;;
Congo (Kinshasa);20,83;;;
Costa Rica;65,84;;;
Croatia;23,94;;;
Cyprus;16,06;;;
Czech Republic;83,7;;;
Denmark;31,23;;;
Dominican Republic;16,44;;;
Ecuador;27,59;;;
Egypt;10,57;;;
El Salvador;21,38;;;
Estonia;61,46;;;
Ethiopia;4,68;;;
Finland;28,35;;;
France;21,14;;;
Gabon;51,19;;;
Gambia;13,04;;;
Georgia;17,33;;;
Germany;37,61;;;
Ghana;25,55;;;
Greece;14,93;;;
Guatemala;19,44;;;
Guinea;37,67;;;
Haiti;12,38;;;
Honduras;44,73;;;
Hong Kong S.A.R. of China;162,75;;;
Hungary;78;;;
Iceland;31,55;;;
India;15,36;;;
Indonesia;21,86;;;
Iran;20,25;;;
Iraq;37,55;;;
Ireland;57,73;;;
Israel;22,56;;;
Italy;24,39;;;
Ivory Coast;37,4;;;
Jamaica;10,43;;;
Japan;15,6;;;
Jordan;23,71;;;
Kazakhstan;32,09;;;
Kenya;11,93;;;
Kosovo;;;;
Kuwait;57,49;;;
Kyrgyzstan;16,59;;;
Laos;40;;;
Latvia;45,97;;;
Lebanon;7,61;;;
Lesotho;42,4;;;
Liberia;48,32;;;
Libya;45,54;;;
Lithuania;66,94;;;
Luxembourg;42,35;;;
Macedonia;45,19;;;
Madagascar;20,59;;;
Malawi;18,33;;;
Mali;14,6;;;
Malta;66,49;;;
Mauritania;48,86;;;
Mauritius;22,48;;;
Mexico;31,54;;;
Moldova;33,09;;;
Mongolia;43,44;;;
Montenegro;9,36;;;
Morocco;22,71;;;
Mozambique;33,17;;;
Myanmar;37,46;;;
Namibia;37,09;;;
Nepal;4,93;;;
Netherlands;74,74;;;
New Zealand;21,54;;;
Nicaragua;48,12;;;
Niger;18,19;;;
Nigeria;17,64;;;
Norway;28,28;;;
Pakistan;11,68;;;
Palestinian Territories;;;;
Panama;13,7;;;
Paraguay;31,25;;;
Peru;18,92;;;
Philippines;27,24;;;
Poland;38,31;;;
Portugal;27,61;;;
Romania;34,44;;;
Russia;24,5;;;
Rwanda;5,57;;;
Saudi Arabia;46,39;;;
Senegal;17,96;;;
Serbia;;;;
Sierra Leone;43,42;;;
Singapore;133,76;;;
Slovakia;81,71;;;
Slovenia;72,79;;;
South Africa;34,75;;;
South Korea;41,87;;;
South Sudan;;;;
Spain;22,94;;;
Sri Lanka;13,62;;;
Sweden;29,58;;;
Switzerland;42,51;;;
Taiwan Province of China;;;;
Tajikistan;8,8;;;
Tanzania;8,51;;;
Thailand;60,39;;;
Togo;43,48;;;
Trinidad and Tobago;69,27;;;
Tunisia;35,43;;;
Turkey;20,3;;;
Turkmenistan;30,72;;;
Uganda;8,41;;;
Ukraine;44,92;;;
United Arab Emirates;89,87;;;
United Kingdom;15,45;;;
United States;9,34;;;
Uruguay;20;;;
Uzbekistan;21,07;;;
Venezuela;23,96;;;
Vietnam;85,95;;;
Yemen;29,56;;;
Zambia;35,72;;;
Zimbabwe;24,22;;;
